subject,relation,object,confidence,source_file,sentence
onet zsuzsanna,related_to,onet zsuzsanna babe s bolyai university computer science mathematics faculty lect,0.4,cs1_clean.txt,onet zsuzsanna babe s bolyai university computer science mathematics faculty lect
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms
onet zsuzsanna,related_to,today,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms today xor link list skip list link list array lect
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms today xor link list skip list link list array lect
today,related_to,onet zsuzsanna data structures algorithms,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms today xor link list skip list link list array lect
onet zsuzsanna data structures,algorithm,xor link list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list doubly link list well singly link list offer well complexity operation
list,offer,complexity operation,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list doubly link list well singly link list offer well complexity operation
xor,link,list,1.0,cs1_clean.txt,memory efficient solution xor linked list doubly link list traverse direction node retain single link xor previous node
traverse direction node,retain,single link,1.0,cs1_clean.txt,memory efficient solution xor linked list doubly link list traverse direction node retain single link xor previous node
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list example
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list example
similar manner node address node,address,b,1.0,cs1_clean.txt,start head backward traversal start tail similar manner node address node directly address node b nil xor b b
node,related_to,xor b s link address,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node,related_to,node b link xor address node c xor b,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node,related_to,link address,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node,related_to,previous node,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node,related_to,come,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node,related_to,c,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
xor b s link address,related_to,node,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
xor b s link address,related_to,node b link xor address node c xor b,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
xor b s link address,related_to,link address,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
xor b s link address,related_to,previous node,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
xor b s link address,related_to,come,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
